departement;departement_commune;libelle_de_commune;arrondissement;canton_ville;zone_d_emploi;unite_urbaine;population_2010;etablissement_sante_court_sejour;etablissement_sante_moyen_sejour;etablissement_sante_long_sejour;etablissement_psychiatrique;centre_lutte_cancer;urgences;maternite;centre_de_sante;structures_psychiatriques_en_ambulatoire;centre_medecine_preventive;dialyse;hospitalisation_a_domicile;pharmacie;laboratoire_d_analyses_medicales;ambulance;transfusion_sanguine;etablissement_thermal;etablissement_lutte_contre_l_alcoolisme;geo_point_2d;geo_shape
92;92023;Clamart;921;9290;1101;851;52546;3;2;0;2;0;1;1;3;6;0;0;0;16;6;5;2;0;0;48.7964306792,2.25474652922;"{""type"": ""Polygon"", ""coordinates"": [[[2.228842438969429, 48.77447083628517], [2.226559327154523, 48.776102031621754], [2.226627708148487, 48.78158897384748], [2.234962126007343, 48.785878904546564], [2.237015668418126, 48.796235311231634], [2.253282111887863, 48.80968520536401], [2.251865120621872, 48.81638584250767], [2.2725663708088772, 48.81440000991327], [2.278179169818623, 48.814254149425516], [2.279913901436275, 48.81091886555575], [2.272195653730433, 48.79412525297508], [2.271715007168223, 48.7905246824363], [2.237456852049904, 48.776298005575384], [2.228842438969429, 48.77447083628517]]]}"
94;94075;Villecresnes;941;9426;1117;851;9598;1;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;48.7208692486,2.53157741439;"{""type"": ""Polygon"", ""coordinates"": [[[2.52957873740183, 48.70618395023743], [2.51908225825564, 48.71264515040891], [2.515450574216295, 48.72906332053529], [2.510054891895879, 48.734662775461985], [2.509623260941535, 48.73718841238537], [2.516967746637521, 48.738486555141755], [2.528039935486367, 48.72910477057844], [2.536504385710327, 48.728220513858034], [2.5536573322539597, 48.72240355971465], [2.556700064251629, 48.717872713987276], [2.554029410317376, 48.71544325373093], [2.52957873740183, 48.70618395023743]]]}"
95;95008;Aincourt;953;9516;1110;95000;972;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.0728443021,1.77403416153;"{""type"": ""Polygon"", ""coordinates"": [[[1.789381520171228, 49.05786213159284], [1.770733058215842, 49.05778068215246], [1.759422161312399, 49.06328479831266], [1.748268019649474, 49.06729671285031], [1.746498828252773, 49.073114433452126], [1.755026540174788, 49.08108048261161], [1.755772383555429, 49.08765266237995], [1.760776837999695, 49.08735365252113], [1.777519054345048, 49.08976416465385], [1.792819750911606, 49.0818166923001], [1.7965466896679252, 49.072232197890884], [1.799408782156334, 49.06625386050571], [1.794299675406562, 49.058199351285104], [1.789381520171228, 49.05786213159284]]]}"
95;95054;Le Bellay-en-Vexin;953;9517;1119;95000;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.149355833,1.87860817105;"{""type"": ""Polygon"", ""coordinates"": [[[1.8822511996058622, 49.137811306960316], [1.8744902270128652, 49.139905974690755], [1.866687712946618, 49.13823221982353], [1.858215721199423, 49.14022023659257], [1.857520794368243, 49.143144943781756], [1.8729743642479542, 49.15981723353208], [1.882430109489557, 49.1612810823877], [1.892026881772171, 49.16194523731161], [1.895355416515464, 49.159521144936754], [1.893561945322221, 49.14400319701722], [1.8822511996058622, 49.137811306960316]]]}"
95;95250;Fosses;952;9515;56;95401;9565;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;0;49.1000437966,2.49906495383;"{""type"": ""Polygon"", ""coordinates"": [[[2.487913528915997, 49.09431320166334], [2.47839893434382, 49.095567063879336], [2.480151901512247, 49.105087498559165], [2.484187308580272, 49.10691212380608], [2.489930909122961, 49.10636117791936], [2.5310627116434388, 49.09959630822913], [2.530765744533759, 49.09609752207641], [2.524519436814459, 49.097889235528015], [2.487913528915997, 49.09431320166334]]]}"
95;95388;Menucourt;953;9539;1119;95201;5287;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;49.0275422182,1.9746848215;"{""type"": ""Polygon"", ""coordinates"": [[[1.991881552000498, 49.0210106286694], [1.9815102979608632, 49.01927744693804], [1.9671442890396411, 49.023201381444444], [1.957081173862833, 49.02180146719378], [1.954947811869333, 49.02453465400577], [1.9609502205125762, 49.03481127127344], [1.983644839407229, 49.03456485809526], [1.991573089011033, 49.03055810631158], [1.9915275372253372, 49.0237503864144], [1.991881552000498, 49.0210106286694]]]}"
95;95430;Montsoult;952;9526;56;95203;3396;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;49.0715830247,2.30381480542;"{""type"": ""Polygon"", ""coordinates"": [[[2.330019752108343, 49.06365776061789], [2.315466366789097, 49.067343296272625], [2.300351749323176, 49.06580856827095], [2.287288046523662, 49.0714325950933], [2.276896713737898, 49.07170321761059], [2.274186955790605, 49.068764550151066], [2.271919506321345, 49.06943421135192], [2.270171870910295, 49.0749805310926], [2.274023265251636, 49.07655043648777], [2.281821219490001, 49.07583298643196], [2.283744905547564, 49.078263239411044], [2.293297007342776, 49.07840070598873], [2.310415954549569, 49.07254762522462], [2.334604895707003, 49.07530955716819], [2.330019752108343, 49.06365776061789]]]}"
95;95483;Le Perchay;953;9527;1119;95000;548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.1164053302,1.92739087092;"{""type"": ""Polygon"", ""coordinates"": [[[1.950436706543539, 49.11917410407207], [1.93062051239698, 49.10160027304419], [1.926119211957405, 49.1027201225269], [1.9136728577480802, 49.10784164959426], [1.9146362052000092, 49.11416266520232], [1.9087166021578381, 49.11946825425386], [1.907896979881517, 49.12260795563765], [1.914894445054168, 49.12669060317682], [1.9311025994444142, 49.12936237074075], [1.9409603131707862, 49.1216896738613], [1.950436706543539, 49.11917410407207]]]}"
77;77504;Villemaréchal;774;7716;1105;77000;833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.2716975707,2.86854814458;"{""type"": ""Polygon"", ""coordinates"": [[[2.8369287939171963, 48.25173650259403], [2.843697269003723, 48.26359544175472], [2.8370007219125553, 48.27205305361366], [2.839145171065279, 48.284814353516516], [2.855763772377481, 48.28114684573555], [2.871221113865781, 48.29392295277754], [2.8898849465123693, 48.286060112861286], [2.900791201118823, 48.286114747540374], [2.898098986407986, 48.27007904463161], [2.890478590601012, 48.26637426469398], [2.8926330741830943, 48.26059983118541], [2.883810077782031, 48.25313250937412], [2.859954635411102, 48.256318797913345], [2.8369287939171963, 48.25173650259403]]]}"
78;78385;Ménerville;781;7802;1110;78000;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.9566835717,1.59610818145;"{""type"": ""Polygon"", ""coordinates"": [[[1.5891732182346412, 48.94525626031232], [1.5880702219132359, 48.94615165817276], [1.578977081794574, 48.95162042613721], [1.581460330357254, 48.95820635271154], [1.602208873127421, 48.9682712009256], [1.613468193361887, 48.95739359819911], [1.605436657640628, 48.948774309279734], [1.6028280249778342, 48.951334161343866], [1.593545935249355, 48.950685990129415], [1.5891732182346412, 48.94525626031232]]]}"
